iter	Passed	Remaining
417	3400	4734
418	3404	4721
419	3411	4711
420	3421	4705
421	3429	4697
422	3438	4689
423	3449	4686
424	3456	4675
425	3461	4664
426	3471	4658
427	3478	4649
428	3485	4639
429	3493	4630
430	3499	4620
431	3508	4613
432	3518	4606
433	3526	4598
434	3535	4591
435	3546	4587
436	3555	4581
437	3563	4572
438	3575	4569
439	3582	4559
440	3588	4548
441	3597	4541
442	3603	4530
443	3613	4524
444	3618	4512
445	3623	4501
446	3635	4497
447	3644	4490
448	3655	4485
449	3665	4479
450	3673	4471
451	3676	4457
452	3687	4452
453	3698	4447
454	3710	4444
455	3715	4432
456	3720	4420
457	3728	4412
458	3739	4407
459	3745	4396
460	3752	4387
461	3760	4379
462	3767	4369
463	3775	4361
464	3786	4356
465	3797	4351
466	3802	4340
467	3814	4335
468	3819	4324
469	3828	4317
470	3837	4309
471	3843	4299
472	3849	4289
473	3858	4281
474	3863	4270
475	3876	4267
476	3882	4256
477	3891	4249
478	3897	4238
479	3902	4227
480	3911	4220
481	3916	4209
482	3924	4201
483	3931	4191
484	3942	4186
485	3947	4174
486	3952	4163
487	3961	4156
488	3965	4143
489	3976	4139
490	3982	4128
491	3992	4121
492	3996	4110
493	4005	4103
494	4013	4094
495	4025	4090
496	4030	4078
497	4040	4072
498	4052	4069
499	4062	4062
500	4070	4054
501	4077	4044
502	4082	4034
503	4085	4020
504	4092	4011
505	4103	4005
506	4112	3998
507	4116	3986
508	4121	3976
509	4127	3965
510	4138	3959
511	4145	3951
512	4157	3946
513	4161	3934
514	4164	3922
515	4170	3911
516	4176	3902
517	4183	3892
518	4189	3882
519	4195	3872
520	4206	3867
521	4216	3861
522	4223	3852
523	4234	3846
524	4241	3837
525	4254	3834
526	4260	3823
527	4266	3814
528	4270	3801
529	4272	3788
530	4281	3781
531	4292	3775
532	4298	3766
533	4302	3754
534	4308	3745
535	4313	3734
536	4321	3725
537	4330	3718
538	4339	3711
539	4351	3706
540	4357	3696
541	4367	3690
542	4376	3683
543	4386	3677
544	4392	3667
545	4402	3660
546	4409	3651
547	4417	3643
548	4424	3634
549	4432	3626
550	4441	3619
551	4450	3612
552	4459	3604
553	4469	3598
554	4476	3589
555	4482	3579
556	4487	3569
557	4494	3559
558	4504	3553
559	4513	3546
560	4522	3538
561	4531	3531
562	4538	3522
563	4546	3514
564	4561	3512
565	4569	3503
566	4577	3495
567	4581	3484
568	4587	3474
569	4592	3464
570	4599	3455
571	4603	3444
572	4611	3436
573	4614	3424
574	4621	3416
575	4628	3407
576	4634	3397
577	4642	3389
578	4650	3381
579	4658	3373
580	4667	3366
581	4679	3360
582	4685	3351
583	4694	3343
584	4698	3333
585	4705	3324
586	4715	3317
587	4725	3310
588	4732	3302
589	4740	3294
590	4746	3285
591	4751	3274
592	4759	3266
593	4769	3259
594	4778	3252
595	4788	3246
596	4795	3237
597	4802	3228
598	4814	3222
599	4820	3213
600	4826	3203
601	4832	3194
602	4842	3188
603	4848	3178
604	4858	3172
605	4865	3163
606	4868	3151
607	4876	3143
608	4883	3135
609	4891	3127
610	4895	3116
611	4904	3109
612	4907	3098
613	4915	3090
614	4925	3083
615	4938	3078
616	4945	3069
617	4952	3061
618	4956	3050
619	4963	3042
620	4971	3034
621	4981	3027
622	4988	3018
623	5001	3013
624	5005	3003
625	5010	2993
626	5021	2987
627	5028	2978
628	5038	2971
629	5043	2962
630	5050	2953
631	5058	2945
632	5067	2937
633	5073	2928
634	5085	2923
635	5090	2913
636	5100	2906
637	5103	2895
638	5110	2887
639	5121	2880
640	5127	2871
641	5131	2861
642	5138	2853
643	5144	2844
644	5150	2834
645	5166	2831
646	5175	2823
647	5183	2815
648	5189	2806
649	5196	2798
650	5206	2791
651	5212	2781
652	5215	2771
653	5218	2760
654	5223	2751
655	5235	2745
656	5246	2738
657	5253	2730
658	5260	2722
659	5268	2714
660	5271	2703
661	5284	2697
662	5294	2691
663	5300	2682
664	5310	2675
665	5321	2668
666	5330	2661
667	5335	2651
668	5342	2643
669	5347	2633
