iter	Logloss
0	0.689549186
11	0.684595776822	0.67960754
3	0.6758735459
4	0.6712489933
5	0.6661190677
6	0.6618259975
7	0.6581476385
8	0.6532803325
9	0.6505287468
10	0.6462950273
11	0.6425484001
12	0.6379209246
13	0.6337726643
14	0.6297585624
15	0.6256772326
16	0.6226045683
17	0.6192371319
18	0.6159369729
19	0.6129744889
20	0.6093398255
21	0.6066654255
22	0.6037393545
23	0.6004293863
24	0.5970182543
25	0.5935076924
26	0.5910002473
27	0.5885907458
28	0.5858640299
29	0.582837786
30	0.5796465193
31	0.5762834921332	0.5735189264333	0.5706149015
34	0.5680804067
35	0.5657974342
36	0.5628427283
37	0.560233738	038	0.557731939	039	0.554969540	040	0.552608741	041	0.55017742	0.5568602921
43	0.43	0.54570144	0.5521524603
45	0.45	0.54054146	0.5471533243
47	0.5446971547
48	0.5427107377
49	0.540439903
50	0.538393194
51	0.536234868
52	0.5337282651
53	0.5314573808
54	0.5293304642
55	0.5273152141
56	0.5256307528
57	0.523951741
58	0.5218472171
59	0.520148141
60	0.5184213217
61	0.5165728284
62	0.5145560921
63	0.5126998208
64	0.5114498386
65	0.5097753351
66	0.5085740523
67	0.5065680169
68	0.5049202659
69	0.5036746929
70	0.5027688757
71	0.5010152049
72	0.4987723115
73	0.4973070219
74	0.4958154257
75	0.4939211065
76	0.492321708
77	0.4909363784
78	0.4896144619
79	0.4880510801
80	0.4864749661
81	0.4851606295
82	0.4837389364
83	0.4821351782
84	0.4807472724
85	0.4790796057
86	0.4774975467
87	0.4759195501
88	0.4741258497
89	0.4727470101
90	0.4710732497
91	0.4698783082
92	0.4685007071
93	0.4669055691
94	0.4656744623
95	0.464429137
96	0.4632340468
97	0.4618854275
98	0.460454272
99	0.4590683974
100	0.4582379824
101	0.4570134646
102	0.4561560495
103	0.4550295248
104	0.4537964858
105	0.452703253
106	0.4517884688
107	0.4506040796
108	0.4496284584
109	0.4483814983
110	0.447430301
111	0.4463337985
112	0.4452567658
113	0.4447793341
114	0.4435665081
115	0.4424378036
116	0.4415175203
117	0.4402724922
118	0.4395442814
119	0.4384021511
120	0.4375531085
121	0.4365333458
122	0.4357570797
123	0.434685447
124	0.4334830247
125	0.4326359142
126	0.4316718362
127	0.4308415202
128	0.4298805138
129	0.4288512391
130	0.4276503526
131	0.426630788
132	0.4256220235
133	0.4249141743
134	0.4238641912
135	0.4228818819
136	0.4216215456
137	0.4208575657
138	0.4199700294
139	0.4191002288
140	0.4182247806
141	0.4174385566
142	0.4167708855
143	0.4159253108
144	0.4152343304
145	0.4145178361
146	0.4134954973
147	0.4123547789
148	0.4115558723
149	0.4107212215
150	0.4098020281
151	0.4090143922
152	0.4082349802
153	0.4076173708
154	0.4067773695
155	0.4059462857
156	0.4053767811
157	0.4047751984
158	0.3933957088
159	0.4033476099
160	0.39221513431161	0.39136282191162	0.39063064771163	0.39009312221164	0.38914009191165	0.3883317724
166	0.3874857519
167	0.3868294753
168	0.3859549188
169	0.3852439484
170	0.3843925278
171	0.3835690734
172	0.3829274363
173	0.3823239215
174	0.3816968001
175	0.3811120863
176	0.3803297266
177	0.3795064456
178	0.3790384516
179	0.3782620616
180	0.37764091
181	0.3769832215
182	0.3764612272
183	0.3759187228
184	0.3754263543
185	0.3745675768
186	0.3739951493
187	0.3733823702
188	0.3727095963
189	0.3722533189
190	0.3717823029
191	0.371253571
192	0.3707532263
193	0.3701909053
194	0.3697268498
195	0.3693255635
196	0.3685580167
197	0.3680898493
198	0.3674552967
199	0.3669640182
200	0.366503827
201	0.3660259742
202	0.3654309558
203	0.3649638287
204	0.3643749039
205	0.3638447353
206	0.3631235098
207	0.3624468469
208	0.3618092723
209	0.3612211649
210	0.3607782141
211	0.3602088334
212	0.3598066057
213	0.3591410649
214	0.3587415621
215	0.3581578639
216	0.3575327985
217	0.3571136276
218	0.3564646832
219	0.3557501211
220	0.3552896822
221	0.3546244634
222	0.3538729432
223	0.3532354925
224	0.3527435699
225	0.352186525
226	0.3516908125
227	0.3508763004
228	0.3504916848
229	0.3500388505
230	0.3494693211
231	0.3489893628
232	0.3484808439
233	0.3476289526
234	0.3469613806
235	0.3463043609
236	0.3458259632
237	0.3453315388
238	0.3447517296
239	0.3442218335
240	0.3436747464
241	0.3430606792
242	0.3425490887
243	0.3421115628
244	0.3415429252
245	0.3412715862
246	0.3405319313
247	0.3401383982
248	0.3396055544
249	0.3391679789
250	0.3387113546
251	0.3383600062
252	0.3379269637
253	0.3374618183
254	0.3372265704
255	0.3368570897
256	0.336469031
257	0.3359863975
258	0.3354311609
259	0.3348042377
260	0.334497749
261	0.3339071645
262	0.3335569803
263	0.3330847009
264	0.3326364988
265	0.3321619405
266	0.331650672
267	0.331156644
268	0.3305540209
269	0.3299807511
270	0.3293706225
271	0.329121825
272	0.3288251703
273	0.3284374336
274	0.3278872007
275	0.327494386
276	0.327073283
277	0.3267348401
278	0.3262092293
279	0.3258177522
280	0.3254433917
281	0.3250905074
282	0.3247191689
283	0.3242988339
284	0.32386973
285	0.3235345073
286	0.3231759505
287	0.3228226947
288	0.3225268327
289	0.3218823718
290	0.321625499
291	0.3210875771
292	0.3204845082
293	0.320203682
294	0.319785502
295	0.3192682638
296	0.3189732688
297	0.3186608847
298	0.3182803563
299	0.3176789965
300	0.3171820207
301	0.3167241084
302	0.3165559149
303	0.3163618113
304	0.3156297362
305	0.3153394228
306	0.3148772747
307	0.3146677389
308	0.3141034362
309	0.3136839681
310	0.3132734175
311	0.3125879114
312	0.3122340611
313	0.3119148155
314	0.3114082039
315	0.3111655495
316	0.310746453
317	0.310379276
318	0.3102487341
319	0.3098947104
320	0.3094553514
321	0.308889934
322	0.3086163657
323	0.3081104972
324	0.3077420074
325	0.3073776542
326	0.3067853358
327	0.3063577181
328	0.3059559116
329	0.3055580932
330	0.3051245801
331	0.3047102891
332	0.3043452672
333	0.3037708827
334	0.3033025915
335	0.302817902
336	0.3024706407
337	0.3020811948
338	0.3015239765
339	0.3011550408
340	0.3008365383
341	0.3004784522
342	0.300117022
343	0.2996671107
344	0.2993018658
345	0.2990145498
346	0.2985481163
347	0.2983469034
348	0.2976422496
349	0.2974786635
350	0.2972665762
351	0.2969197855
352	0.2965424773
353	0.2960961577
354	0.2956779777
355	0.2952650987
356	0.2948646298
357	0.2946018615
358	0.2943883128
359	0.2941174693
360	0.2938427615
361	0.2934287183
362	0.2931058562
363	0.2928939423
364	0.2926820532
365	0.2922376162
366	0.291804227
367	0.2914128489
368	0.291140321
369	0.2908751996
370	0.2905716091
371	0.2901835256
